wvl_nm	xsec_ClNO3	A1	A2
300	3.13e-20	0.00364	7.36e-06\r
302	2.74e-20	0.00383	8.38e-06\r
304	2.39e-20	0.00401	9.3e-06\r
306	2.09e-20	0.00418	1.02e-05\r
308	1.83e-20	0.00436	1.11e-05\r
310	1.6e-20	0.00453	1.2e-05\r
312	1.4e-20	0.00471	1.3e-05\r
314	1.22e-20	0.00489	1.42e-05\r
316	1.07e-20	0.00507	1.56e-05\r
318	9.47e-21	0.00524	1.69e-05\r
320	8.31e-21	0.0054	1.84e-05\r
322	7.31e-21	0.00555	2e-05\r
324	6.47e-21	0.00568	2.18e-05\r
326	5.78e-21	0.0058	2.36e-05\r
328	5.18e-21	0.00588	2.54e-05\r
330	4.66e-21	0.00592	2.7e-05\r
332	4.2e-21	0.00592	2.84e-05\r
334	3.82e-21	0.00588	2.96e-05\r
336	3.51e-21	0.0058	3.05e-05\r
338	3.26e-21	0.00568	3.1e-05\r
340	3.02e-21	0.00551	3.11e-05\r
342	2.82e-21	0.00532	3.08e-05\r
344	2.64e-21	0.00507	2.96e-05\r
346	2.52e-21	0.00476	2.74e-05\r
348	2.43e-21	0.00439	2.42e-05\r
350	2.29e-21	0.00402	2.07e-05\r
352	2.18e-21	0.00368	1.76e-05\r
354	2.12e-21	0.0034	1.5e-05\r
356	2.05e-21	0.00315	1.27e-05\r
358	2.03e-21	0.00292	1.06e-05\r
360	2e-21	0.0027	8.59e-06\r
362	1.9e-21	0.00247	6.38e-06\r
364	1.84e-21	0.00222	3.66e-06\r
366	1.75e-21	0.00193	2.42e-07\r
368	1.66e-21	0.00162	-3.62e-06\r
370	1.59e-21	0.00133	-7.4e-06\r
372	1.51e-21	0.00107	-1.07e-05\r
374	1.44e-21	0.00086	-1.33e-05\r
376	1.38e-21	0.000673	-1.54e-05\r
378	1.29e-21	0.000501	-1.74e-05\r
380	1.21e-21	0.000353	-1.91e-05\r
382	1.15e-21	0.000254	-2.05e-05\r
384	1.08e-21	0.000225	-2.11e-05\r
386	1.03e-21	0.000262	-2.11e-05\r
388	9.7e-22	0.000333	-2.08e-05\r
390	9.09e-22	0.00041	-2.05e-05\r
392	8.49e-22	0.000504	-2.02e-05\r
394	7.8e-22	0.000662	-1.94e-05\r
396	7.4e-22	0.000895	-1.79e-05\r
398	7.1e-22	0.00114	-1.61e-05\r
400	6.38e-22	0.00138	-1.42e-05\r
402	5.99e-22	0.00163	-1.2e-05\r
404	5.68e-22	0.00196	-8.97e-06\r
406	5.13e-22	0.00236	-5.15e-06\r
408	4.81e-22	0.00284	-6.64e-07\r
410	4.44e-22	0.00338	4.47e-06\r
412	4.13e-22	0.00396	1e-05\r
414	3.73e-22	0.00456	1.6e-05\r
416	3.56e-22	0.00522	2.28e-05\r
418	3.17e-22	0.00596	3.07e-05\r
420	3.16e-22	0.0067	3.87e-05\r
422	2.75e-22	0.0073	4.58e-05\r
424	2.42e-22	0.00782	5.22e-05\r
426	2.22e-22	0.00841	5.95e-05\r
428	2.07e-22	0.00911	6.79e-05\r
430	1.89e-22	0.00972	7.52e-05\r
432	1.88e-22	0.00996	7.81e-05\r
434	0	0	0\r
436	0	0	0\r
438	0	0	0\r
440	0	0	0\r
442	0	0	0\r
444	0	0	0\r
446	0	0	0\r
448	0	0	0\r
450	0	0	0\r
452	0	0	0\r
454	0	0	0\r
456	0	0	0\r
458	0	0	0\r
460	0	0	0\r
462	0	0	0\r
464	0	0	0\r
