wvl_nm	xsec_220K	a_T_
300	1.2782e-19	0\r
302	1.4278e-19	0\r
304	1.5425e-19	0\r
306	1.521e-19	4.67e-23\r
308	1.6167e-19	5.68e-23\r
310	1.8218e-19	5.41e-23\r
312	1.9588e-19	7.23e-23\r
314	1.9256e-19	1.23e-22\r
316	2.0442e-19	1.43e-22\r
318	2.4437e-19	9.99e-23\r
320	2.4908e-19	1.35e-22\r
322	2.4771e-19	1.76e-22\r
324	2.5541e-19	2.02e-22\r
326	2.8205e-19	2.25e-22\r
328	2.9453e-19	2.43e-22\r
330	3.1282e-19	2.31e-22\r
332	2.9719e-19	3.63e-22\r
334	3.037e-19	4.15e-22\r
336	3.2943e-19	3.47e-22\r
338	3.1838e-19	4.39e-22\r
340	3.6394e-19	4.25e-22\r
342	3.8862e-19	3.22e-22\r
344	3.7958e-19	3.65e-22\r
346	4.2089e-19	2.49e-22\r
348	4.5353e-19	3.28e-22\r
350	3.8301e-19	4.9e-22\r
352	4.2555e-19	3.04e-22\r
354	4.9318e-19	2.67e-22\r
356	4.376e-19	3.99e-22\r
358	5.0995e-19	2.57e-22\r
360	4.5571e-19	2.16e-22\r
362	5.0286e-19	1.6e-22\r
364	4.9223e-19	2.42e-22\r
366	5.609e-19	1.5e-22\r
368	5.6375e-19	-3.97e-24\r
370	5.4568e-19	1.07e-22\r
372	6.3333e-19	-1.94e-22\r
374	5.6191e-19	4.3e-23\r
376	6.5061e-19	-1.86e-22\r
378	5.2162e-19	3e-22\r
380	6.6069e-19	-1.47e-22\r
382	5.9264e-19	6.12e-23\r
384	6.0941e-19	-2.27e-23\r
386	5.9491e-19	2.08e-23\r
388	6.2317e-19	-1.58e-22\r
390	6.1018e-19	6.33e-23\r
392	6.7198e-19	-1.28e-22\r
394	5.5934e-19	2.02e-22\r
396	6.5236e-19	-8.66e-23\r
398	6.7548e-19	-2.51e-22\r
400	6.982e-19	-2.56e-22\r
402	5.8688e-19	1.85e-22\r
404	5.8778e-19	2.33e-22\r
