wvl_nm	Xsec_298K	a_T_
300	0	0\r
302	0	0\r
304	0	0\r
306	0	0\r
308	0	0\r
310	0	0\r
312	0	0\r
314	0	0\r
316	0	0\r
318	0	0\r
320	0	0\r
322	0	0\r
324	0	0\r
326	0	0\r
328	0	0\r
330	0	0\r
332	0	0\r
334	0	0\r
336	0	0\r
338	0	0\r
340	0	0\r
342	0	0\r
344	0	0\r
346	0	0\r
348	0	0\r
350	0	0\r
352	0	0\r
354	0	0\r
356	0	0\r
358	0	0\r
360	0	0\r
362	0	0\r
364	0	0\r
366	0	0\r
368	0	0\r
370	0	0\r
372	0	0\r
374	0	0\r
376	0	0\r
378	0	0\r
380	0	0\r
382	0	0\r
384	0	0\r
386	0	0\r
388	0	0\r
390	0	0\r
392	0	0\r
394	0	0\r
396	0	0\r
398	0	0\r
400	1e-21	-5.73529e-22\r
402	1e-20	-5.88235e-22\r
404	1e-21	-4.26471e-22\r
406	2e-20	-5.88235e-22\r
408	3e-20	-2.94118e-22\r
410	1e-20	-5.88235e-22\r
412	5e-20	1.47059e-22\r
414	2e-20	-1.47059e-21\r
416	6e-20	-2.94118e-22\r
418	5e-20	-8.82353e-22\r
420	8e-20	-8.82353e-22\r
422	9e-20	-5.88235e-22\r
424	9e-20	-7.35294e-22\r
426	1.4e-19	-2.94118e-22\r
428	1.2e-19	-5.88235e-22\r
430	1.7e-19	0\r
432	1.5e-19	-4.41176e-22\r
434	1.8e-19	-5.88235e-22\r
436	1.5e-19	-1.17647e-21\r
438	2.1e-19	-1.47059e-22\r
440	1.9e-19	-7.35294e-22\r
442	2.1e-19	-2.94118e-22\r
444	1.9e-19	-7.35294e-22\r
446	2.4e-19	-7.35294e-22\r
448	2.4e-19	-1.76471e-21\r
450	2.9e-19	-5.88235e-22\r
452	3.3e-19	-1.02941e-21\r
454	3.6e-19	-5.88235e-22\r
456	3.6e-19	0\r
458	3.7e-19	-1.47059e-21\r
460	4e-19	-8.82353e-22\r
462	4e-19	7.08062e-37\r
464	4.8e-19	-4.41176e-22\r
466	5.4e-19	-4.41176e-22\r
468	5.6e-19	-4.41176e-22\r
470	5.9e-19	2.94118e-22\r
472	6.5e-19	0\r
474	6.2e-19	-2.94118e-22\r
476	7.8e-19	-7.35294e-22\r
478	7.3e-19	-1.47059e-22\r
480	7e-19	-7.35294e-22\r
482	7.1e-19	-2.94118e-22\r
484	7.7e-19	4.41176e-22\r
486	9.1e-19	-5.88235e-22\r
488	9.5e-19	4.41176e-22\r
490	1.03e-18	-1.32353e-21\r
492	9.9e-19	-1.02941e-21\r
494	1.01e-18	0\r
496	1.21e-18	-1.17647e-21\r
498	1.2e-18	-1.76471e-21\r
500	1.13e-18	-1.47059e-21\r
502	1.11e-18	-2.83225e-36\r
504	1.26e-18	-1.02941e-21\r
506	1.34e-18	-2.35294e-21\r
508	1.27e-18	-4.41176e-22\r
510	1.51e-18	-2.05882e-21\r
512	1.77e-18	-5e-21\r
514	1.58e-18	-2.20588e-21\r
516	1.56e-18	-2.79412e-21\r
518	1.44e-18	-7.35294e-22\r
520	1.68e-18	-7.35294e-22\r
522	1.93e-18	-1.91176e-21\r
524	1.64e-18	-5.88235e-22\r
526	1.63e-18	-7.35294e-22\r
528	2.1e-18	-4.11765e-21\r
530	2.23e-18	-3.52941e-21\r
