wvl_nm	Abs_NO
300	0\r
302	0\r
304	0\r
306	0\r
308	0\r
310	0\r
312	0\r
314	0\r
316	0\r
318	0\r
320	0\r
322	0\r
324	0\r
326	0\r
328	0\r
330	0\r
332	0\r
334	0\r
336	0\r
338	0\r
340	0\r
342	0\r
344	0\r
346	0\r
348	0\r
350	0\r
352	0\r
354	0\r
356	0\r
358	0\r
360	0\r
362	0\r
364	0\r
366	0\r
368	0\r
370	0\r
372	0\r
374	0\r
376	0\r
378	0\r
380	0\r
382	0\r
384	0\r
386	0\r
388	0\r
390	0\r
392	0\r
394	0\r
396	0\r
398	0\r
400	0\r
402	0\r
404	0\r
406	0\r
408	0\r
410	0\r
412	0\r
414	0\r
416	0\r
418	0\r
420	0\r
422	0\r
424	0\r
426	0\r
428	0\r
430	0\r
432	0\r
434	0\r
436	0\r
438	0\r
440	0\r
442	0\r
444	0\r
446	0\r
448	0\r
450	0\r
452	0\r
454	0\r
456	0\r
458	0\r
460	0\r
462	0\r
464	0\r
466	0\r
468	0\r
470	0\r
472	0\r
474	0\r
476	0\r
478	0\r
480	0\r
482	0\r
484	0\r
486	0\r
488	0\r
490	0\r
492	0\r
494	0\r
496	0\r
498	0\r
500	0\r
502	0\r
504	0\r
506	0\r
508	0\r
510	0\r
512	0\r
514	0\r
516	0\r
518	0\r
520	0\r
522	0\r
524	0\r
526	0\r
528	0\r
530	0\r
532	0\r
534	0\r
536	0\r
538	0\r
540	0\r
542	0\r
544	0\r
546	0\r
548	0\r
550	0\r
552	0\r
554	0\r
556	0\r
558	0\r
560	0\r
562	0\r
564	0\r
566	0\r
568	0\r
570	0\r
572	0\r
574	0\r
576	0\r
578	0\r
580	0\r
582	0\r
584	0\r
586	0\r
588	0\r
590	0\r
592	0\r
594	0\r
596	0\r
598	0\r
600	0\r
602	0\r
604	0\r
606	0\r
608	0\r
610	0\r
612	0\r
614	0\r
616	0\r
618	0\r
620	0\r
622	0\r
624	0\r
626	0\r
628	0\r
630	0\r
632	0\r
634	0\r
636	0\r
638	0\r
640	0\r
642	0\r
644	0\r
646	0\r
648	0\r
650	0\r
652	0\r
654	0\r
656	0\r
658	0\r
660	0\r
662	0\r
664	0\r
666	0\r
668	0\r
670	0\r
672	0\r
674	0\r
676	0\r
678	0\r
680	0\r
682	0\r
684	0\r
686	0\r
688	0\r
690	0\r
692	0\r
694	0\r
696	0\r
698	0\r
700	0\r
702	0\r
704	0\r
706	0\r
708	0\r
710	0\r
712	0\r
714	0\r
716	0\r
718	0\r
720	0\r
722	0\r
724	0\r
726	0\r
728	0\r
730	0\r
732	0\r
734	0\r
736	0\r
738	0\r
740	0\r
742	0\r
744	0\r
746	0\r
748	0\r
750	0\r
752	0\r
754	0\r
756	0\r
758	0\r
760	0\r
762	0\r
764	0\r
766	0\r
768	0\r
770	0\r
772	0\r
774	0\r
776	0\r
778	0\r
780	0\r
782	0\r
784	0\r
786	0\r
788	0\r
790	0\r
792	0\r
794	0\r
796	0\r
798	0\r
800	0\r
802	0\r
804	0\r
806	0\r
808	0\r
810	0\r
812	0\r
814	0\r
816	0\r
818	0\r
820	0\r
822	0\r
824	0\r
826	0\r
828	0\r
830	0\r
832	0\r
834	0\r
836	0\r
838	0\r
840	0\r
842	0\r
844	0\r
846	0\r
848	0\r
850	0\r
852	0\r
854	0\r
856	0\r
858	0\r
860	0\r
862	0\r
864	0\r
866	0\r
868	0\r
870	0\r
872	0\r
874	0\r
876	0\r
878	0\r
880	0\r
882	0\r
884	0\r
886	0\r
888	0\r
890	0\r
892	0\r
894	0\r
896	0\r
898	0\r
900	0\r
902	0\r
904	0\r
906	0\r
908	0\r
910	0\r
912	0\r
914	0\r
916	0\r
918	0\r
920	0\r
922	0\r
924	0\r
926	0\r
928	0\r
930	0\r
932	0\r
934	0\r
936	0\r
938	0\r
940	0\r
942	0\r
944	0\r
946	0\r
948	0\r
950	0\r
952	0\r
954	0\r
956	0\r
958	0\r
960	0\r
962	0\r
964	0\r
966	0\r
968	0\r
970	0\r
972	0\r
974	0\r
976	0\r
978	0\r
980	0\r
982	0\r
984	0\r
986	0\r
988	0\r
990	0\r
992	0\r
994	0\r
996	0\r
998	0\r
1000	0\r
1002	0\r
1004	0\r
1006	0\r
1008	0\r
1010	0\r
1012	0\r
1014	0\r
1016	0\r
1018	0\r
1020	0\r
1022	0\r
1024	0\r
1026	0\r
1028	0\r
1030	0\r
1032	0\r
1034	0\r
1036	0\r
1038	0\r
1040	0\r
1042	0\r
1044	0\r
1046	0\r
1048	0\r
1050	0\r
1052	0\r
1054	0\r
1056	0\r
1058	0\r
1060	0\r
1062	0\r
1064	0\r
1066	0\r
1068	0\r
1070	0\r
1072	0\r
1074	0\r
1076	0\r
1078	0\r
1080	0\r
1082	0\r
1084	0\r
1086	0\r
1088	0\r
1090	0\r
1092	0\r
1094	0\r
1096	0\r
1098	0\r
1100	0\r
