Wvl_nm	Ref_228K	a0	a1
300	3.5389e-19	1.9439	2.08\r
302	2.7236e-19	1.779	1.9433\r
304	2.0887e-19	1.753	1.9327\r
306	1.5586e-19	1.5297	1.7588\r
308	1.1714e-19	1.4851	1.7422\r
310	8.5446e-20	1.128	1.4958\r
312	6.5288e-20	0.98783	1.4047\r
314	5.1341e-20	1.0991	1.5127\r
316	3.787e-20	1.1435	1.5846\r
318	2.9973e-20	1.2627	1.6791\r
320	2.5923e-20	1.5615	1.8568\r
322	1.9056e-20	1.6448	1.9266\r
324	8.0071e-21	0.041243	1.2169\r
326	7.415e-21	0.26162	1.323\r
328	1.0649e-20	1.8801	2.08\r
330	3.3209e-21	0.22873	1.3258\r
332	2.45e-21	-0.50812	1.1332\r
334	3.8313e-21	0.80283	1.4959\r
336	8.9002e-22	-0.99083	1.3479\r
338	1.3393e-21	-0.4302	0.94407\r
340	1.2834e-21	0.93933	1.7754\r
342	2.8706e-22	-2.4817	1.2018\r
344	1.1126e-21	1.8348	2.08\r
346	2.0352e-22	-2.3471	1.3469\r
348	1.7456e-22	0.3104	1.7224\r
350	8.2669e-23	-3.0754	1.5547\r
352	2.033e-22	1.2497	1.9394\r
354	3.5427e-23	-1.8593	1.8426\r
356	2.8979e-23	-0.63452	2.0568\r
358	1.9524e-23	-3.763	1.8884\r
360	4.6173e-23	1.0765	2.08\r
362	8.6807e-24	-1.9793	2.08\r
364	6.4067e-24	-1.5902	2.08\r
366	7.3361e-24	-3.261	2.08\r
368	4.8853e-24	-1.1697	2.08\r
370	4.1974e-24	-2.0232	2.08\r
372	2.4983e-24	-2.8162	2.08\r
374	3.7536e-24	-2.199	2.08\r
376	3.0183e-24	-1.3701	2.08\r
378	2.5502e-24	-1.2644	2.08\r
380	3.3701e-24	-0.69336	2.08\r
382	4.2338e-24	0.49563	2.08\r
384	4.1762e-24	0.25095	2.08\r
386	4.3626e-24	0.59361	2.08\r
388	5.3197e-24	0.75932	2.08\r
390	6.353e-24	1.117	2.08\r
392	6.69e-24	-2.2408	0.54\r
394	7.28e-24	-2.855	0.54\r
396	7.98e-24	-4.1537	0\r
398	6.1e-24	-6.1993	0\r
400	6.72e-24	-5.1185	0\r
402	7.61e-24	-5.9977	0\r
404	7.65e-24	-6.2351	0\r
406	8.4914e-24	-5.3171	0\r
408	1.5558e-23	-2.9245	0\r
410	1.906e-23	-2.583	0\r
412	1.8184e-23	-2.661	0\r
414	1.6968e-23	-2.9399	0\r
416	2.4589e-23	-1.9419	0\r
418	2.9077e-23	-1.6605	0\r
420	2.8461e-23	-1.6943	0\r
422	3.8191e-23	-1.1929	0\r
424	5.5955e-23	-0.74785	0\r
426	6.3975e-23	-0.71714	0\r
428	5.7065e-23	-0.86163	0\r
430	5.5908e-23	-0.8178	0\r
432	7.2672e-23	-0.51263	0\r
434	8.0114e-23	-0.52526	0\r
436	7.8957e-23	-0.52144	0\r
438	9.8306e-23	-0.26348	0\r
440	1.3438e-22	-0.23964	0\r
