Var1	Var2
300	8.3355e-05\r
302	0.0010028\r
304	0.0017799\r
306	0.0020324\r
308	0.0015118\r
310	0.00016987\r
312	0\r
314	0\r
316	0\r
318	0\r
320	0.00044928\r
322	0.0098838\r
324	0.025151\r
326	0.045003\r
328	0.069749\r
330	0.10027\r
332	0.14962\r
334	0.1903\r
336	0.2518\r
338	0.30881\r
340	0.5078\r
342	1.0437\r
344	1.2226\r
346	0.41648\r
348	0.19099\r
350	0.2205\r
352	0.32187\r
354	0.54456\r
356	1.1027\r
358	2.5677\r
360	4.1637\r
362	2.4461\r
364	0.55059\r
366	0.13377\r
368	0.053541\r
370	0.059754\r
372	0.064342\r
374	0.10733\r
376	0.36875\r
378	1.5046\r
380	2.4308\r
382	1.2252\r
384	0.3014\r
386	0.089872\r
388	0.062073\r
390	0.0073494\r
392	0.008685\r
394	0.048938\r
396	0.026764\r
398	0.032926\r
400	0.026382\r
402	0\r
404	0\r
406	0\r
408	0\r
410	0\r
412	0\r
414	0\r
416	0\r
418	0\r
420	0\r
422	0\r
424	0\r
426	0.0013032\r
428	0.012938\r
430	0.012913\r
432	0.0070032\r
434	0.014256\r
436	0.0090583\r
438	0\r
440	0.038061\r
442	0.10584\r
444	0.21286\r
446	0.48599\r
448	0.31191\r
450	0.089115\r
452	0.009337\r
454	0.034532\r
456	0.032248\r
458	0.02164\r
460	0.058061\r
462	0.090676\r
464	0.15252\r
466	0.2485\r
468	0.49547\r
470	1.0075\r
472	1.8085\r
474	2.9138\r
476	5.7083\r
478	5.7702\r
480	2.9497\r
482	1.001\r
484	0.55163\r
486	0.29029\r
488	0.22017\r
490	0.11943\r
492	0.12453\r
494	0.12545\r
496	0.12961\r
498	0.14195\r
500	0.10415\r
502	0.11276\r
504	0.09188\r
506	0.087376\r
508	0.092475\r
510	0.081658\r
512	0.053087\r
514	0.075991\r
516	0.17879\r
518	0.12559\r
520	0.24041\r
522	0.37779\r
524	0.60103\r
526	0.81569\r
528	1.0561\r
530	1.2622\r
532	1.3824\r
534	1.2536\r
536	0.83286\r
538	0.61821\r
540	0.49084\r
542	0.42931\r
544	0.42072\r
546	0.42072\r
548	0.42072\r
550	0.4379\r
552	0.48083\r
554	0.54093\r
556	0.63538\r
558	0.78134\r
560	1.0218\r
562	1.391\r
564	1.9748\r
566	2.8678\r
568	4.1986\r
570	5.8129\r
572	7.7705\r
574	10.163\r
576	12.012\r
578	12.425\r
580	8.266\r
582	4.8254\r
584	2.7733\r
586	1.5713\r
588	0.8715\r
590	0.48083\r
592	0.28334\r
594	0.1889\r
596	0.18031\r
598	0.18031\r
600	0.18031\r
602	0.24041\r
604	0.24041\r
606	0.33486\r
608	0.45507\r
610	0.57527\r
612	0.76417\r
614	1.0475\r
616	1.3824\r
618	1.8804\r
620	2.5759\r
622	3.5118\r
624	4.6795\r
626	5.8987\r
628	6.8861\r
630	7.2274\r
632	6.8174\r
634	5.6583\r
636	4.1901\r
638	2.9365\r
640	1.8632\r
642	1.142\r
644	0.64611\r
646	0.35203\r
648	0.20607\r
650	0.12021\r
652	0.060103\r
654	0.060103\r
656	0.060103\r
658	0.060103\r
660	0.060103\r
662	0\r
664	0\r
666	0\r
668	0\r
670	0\r
672	0\r
674	0\r
676	0\r
678	0.012\r
680	0.036\r
682	0.060103\r
684	0.12021\r
686	0.44648\r
688	1.0819\r
690	0.9359\r
692	0.32628\r
694	0.12021\r
696	0.048103\r
698	0.024103\r
700	0\r
702	0\r
704	0\r
706	0\r
708	0\r
710	0\r
712	0\r
714	0\r
716	0\r
718	0\r
720	0\r
722	0\r
724	0\r
726	0.015\r
728	0.045\r
730	0.06869\r
732	0.08269\r
734	0.09669\r
736	0.11069\r
738	0.12021\r
740	0.18031\r
742	0.23183\r
744	0.29193\r
746	0.36921\r
748	0.51088\r
750	0.6869\r
752	0.91014\r
754	1.1334\r
756	1.4167\r
758	1.8718\r
760	16.108\r
762	14.116\r
764	15.404\r
766	7.1609\r
768	2.0607\r
770	0.74378\r
772	0.42931\r
774	0.30052\r
776	0.24041\r
778	0.18031\r
780	0.13738\r
782	0.12021\r
784	0.060103\r
786	0.036103\r
788	0.012103\r
790	0\r
792	0\r
794	0\r
796	0\r
798	0\r
800	0\r
802	0\r
804	0\r
806	0\r
808	0\r
810	0\r
812	0\r
814	0\r
816	0\r
818	0\r
820	0\r
822	0\r
824	0\r
826	0\r
828	0\r
830	0\r
832	0\r
834	0\r
836	0\r
838	0\r
840	0\r
842	0\r
844	0\r
846	0\r
848	0\r
850	0\r
852	0\r
854	0\r
856	0\r
858	0\r
860	0\r
862	0\r
864	0\r
866	0\r
868	0\r
870	0\r
872	0\r
874	0\r
876	0\r
878	0\r
880	0\r
882	0\r
884	0\r
886	0\r
888	0\r
890	0\r
892	0\r
894	0\r
896	0\r
898	0\r
900	0\r
902	0\r
904	0\r
906	0\r
908	0\r
910	0\r
912	0\r
914	0\r
916	0\r
918	0\r
920	0\r
922	0\r
924	0\r
926	0\r
928	0\r
930	0\r
932	0\r
934	0\r
936	0\r
938	0\r
940	0\r
942	0\r
944	0\r
946	0\r
948	0\r
950	0\r
952	0\r
954	0\r
956	0\r
958	0\r
960	0\r
962	0\r
964	0\r
966	0\r
968	0\r
970	0\r
972	0\r
974	0\r
976	0\r
978	0\r
980	0\r
982	0\r
984	0\r
986	0\r
