wvl_nm	xsec_213K	a_T_
300	1.06521e-18	-1.60291e-21\r
302	7.98695e-19	-6.31437e-22\r
304	5.56765e-19	-2.89976e-22\r
306	3.5753e-19	-6.50299e-23\r
308	2.0447e-19	1.48886e-22\r
310	1.62665e-19	2.49545e-22\r
312	1.21985e-19	9.43593e-23\r
314	9.0406e-20	1.27749e-22\r
316	8.6138e-20	1.33315e-22\r
318	8.4473e-20	4.46866e-23\r
320	4.59155e-20	6.5024e-23\r
322	1.8607e-20	1.14037e-22\r
324	1.3031e-20	6.57561e-23\r
326	6.1893e-21	6.86732e-23\r
328	2.7637e-21	6.29268e-23\r
330	1.0284e-21	6.24817e-23\r
332	5.5527e-22	5.10943e-23\r
334	6.7786e-22	4.35017e-23\r
336	4.6786e-22	4.0148e-23\r
338	3.5273e-22	3.8357e-23\r
340	2.6779e-22	3.51489e-23\r
342	2.5632e-22	3.64168e-23\r
344	3.2249e-22	3.65855e-23\r
346	2.546e-22	3.8389e-23\r
348	2.8774e-22	3.93568e-23\r
350	3.4685e-22	3.75689e-23\r
352	2.8866e-22	3.49249e-23\r
354	3.2268e-22	3.49673e-23\r
356	3.0493e-22	3.62813e-23\r
358	5.3533e-22	3.3624e-23\r
360	3.4562e-22	3.91998e-23\r
362	3.4809e-22	4.17306e-23\r
364	3.1321e-22	4.58145e-23\r
366	3.3179e-22	4.62891e-23\r
368	2.3142e-22	4.73302e-23\r
370	7.4389e-22	4.8977e-23\r
372	2.1286e-22	4.83493e-23\r
374	2.9819e-22	4.60465e-23\r
376	2.7697e-22	4.69272e-23\r
378	3.0376e-22	4.69663e-23\r
380	1.9358e-22	5.65112e-23\r
382	2.9703e-22	6.15606e-23\r
384	1.9611e-22	5.78828e-23\r
386	1.5804e-22	5.7158e-23\r
388	4.0643e-22	5.07143e-23\r
390	1.6546e-22	5.31346e-23\r
392	1.9244e-22	5.05068e-23\r
394	2.4234e-22	4.98495e-23\r
396	2.96975e-22	4.81162e-23\r
398	2.37125e-22	3.84192e-23\r
400	1.92325e-22	3.11607e-23\r
402	1.77625e-22	2.8779e-23\r
404	1.624e-22	2.63122e-23\r
406	1.5302e-22	2.47924e-23\r
408	1.666e-22	2.69927e-23\r
410	1.869e-22	3.02817e-23\r
412	2.04575e-22	3.31454e-23\r
414	2.39575e-22	3.88162e-23\r
416	2.1595e-22	3.49884e-23\r
418	2.36425e-22	3.83058e-23\r
420	1.48225e-22	2.40155e-23\r
422	0	0\r
424	0	0\r
426	0	0\r
428	0	0\r
430	0	0\r
432	0	0\r
434	0	0\r
436	0	0\r
438	0	0\r
440	0	0\r
442	0	0\r
444	0	0\r
446	0	0\r
448	0	0\r
450	0	0\r
452	0	0\r
454	0	0\r
456	0	0\r
458	0	0\r
460	0	0\r
462	0	0\r
464	0	0\r
466	0	0\r
468	0	0\r
470	0	0\r
472	0	0\r
474	0	0\r
476	0	0\r
478	0	0\r
480	0	0\r
482	0	0\r
484	0	0\r
486	0	0\r
488	0	0\r
490	0	0\r
492	0	0\r
494	0	0\r
496	0	0\r
498	0	0\r
500	0	0\r
502	0	0\r
504	0	0\r
506	0	0\r
508	0	0\r
510	0	0\r
512	0	0\r
514	0	0\r
516	0	0\r
518	0	0\r
520	0	0\r
522	0	0\r
524	0	0\r
526	0	0\r
528	0	0\r
530	0	0\r
532	0	0\r
534	0	0\r
536	0	0\r
538	0	0\r
540	0	0\r
542	0	0\r
544	0	0\r
546	0	0\r
548	0	0\r
550	0	0\r
552	0	0\r
554	0	0\r
556	0	0\r
558	0	0\r
560	0	0\r
562	0	0\r
564	0	0\r
566	0	0\r
568	0	0\r
570	0	0\r
572	0	0\r
574	0	0\r
576	0	0\r
578	0	0\r
580	0	0\r
582	0	0\r
584	0	0\r
586	0	0\r
588	0	0\r
590	0	0\r
592	0	0\r
594	0	0\r
596	0	0\r
598	0	0\r
600	0	0\r
