Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Alpha,Pwv_cm,Dobson_units,Temperature_C,Pressure,Center,Amplitude,Sigma,Gamma,cx0,cx1,cx2,cx3,cx4,cy0,cy1,cy2,cy3,cy4
1,1,200,55.031607,0.289255076604895,0.059470085628707,NaN,1.45259308445378,NaN,NaN,NaN,558.145059506678,NaN,NaN,NaN,0.0235115994280969,-0.00428759450741343,-0.002438481512515,-0.000864363517760644,-0.00162185365486676,0.0140585505642021,0.000867767208614869,-0.00153113003587808,0.000415267065061261,0.000512060413191382
2,1,186,53.669176,0.290772404804826,0.0616546689216008,NaN,0.915235935598959,NaN,NaN,NaN,558.017445819787,NaN,NaN,NaN,0.00735423838398074,0.00196176925451652,-0.00191514547907186,0.000552210539255384,-0.00123034639371241,0.0325778725886278,-0.000319904591554524,-0.00173324167560342,-0.00482434205573923,-0.00114448860520065
3,1,183,53.319409,0.295021209075115,0.0499361545287015,NaN,1.39300870107126,NaN,NaN,NaN,554.979525388922,NaN,NaN,NaN,0.0280048617269398,0.00847437084540448,0.000521123387395436,-1.10694128540605e-05,0.0018059833726972,0.0247334004479198,0.00665183473707073,-0.00210527996461103,5.01413275482889e-05,-0.00108370636522902
4,1,177,52.288012,0.295217708827927,0.0559266570190972,NaN,1.5746516338095,NaN,NaN,NaN,557.532357803843,NaN,NaN,NaN,0.0218532542632332,0.00730081854490248,-0.00268485078532195,-0.00011510091289201,0.000107639635984587,0.0175017864382415,-0.0082851552843273,-0.00417658330535252,-0.000683416205930472,-0.00171148749496537
5,1,168,53.566569,0.290254785865545,0.0620665502320495,NaN,1.31635571585378,NaN,NaN,NaN,559.222409407112,NaN,NaN,NaN,0.0160342183675721,-0.00310308681328323,-0.000681172061607218,-0.00140528538899584,0.000544502900292125,0.0201524693312372,-0.00647262570661948,-0.00024160036418362,0.000366952062266622,-2.03770639878272e-05
6,1,190,53.928255,0.287129238110035,0.0684242348274192,NaN,1.43264140620546,NaN,NaN,NaN,561.533129297486,NaN,NaN,NaN,0.00562251999620437,-0.00288823166866795,-0.000448218913734521,0.000855490295119937,-1.17796329810639e-05,0.0171224830557516,-0.0121356603284919,-0.00403974505354416,0.000750572632171823,-0.00278859398967764
7,1,230,55.781437,0.28587563538691,0.0624973017942805,NaN,1.9368742953576,NaN,NaN,NaN,561.064274301612,NaN,NaN,NaN,0.012965499320401,-0.00815447160008465,-0.00111751987656421,6.11117488509121e-05,-0.00261688795990819,0.0152220383266918,0.00396034107843159,-0.000588509106075386,0.000789148340260747,-0.00104571385658511
8,1,274,56.623937,0.292575535277836,0.0686237740562659,NaN,1.5936455727484,NaN,NaN,NaN,561.479671596891,NaN,NaN,NaN,0.00610809756939525,-0.00334712302650702,-0.00234566334082717,5.85327036941793e-05,7.49822144021262e-05,0.016403605522365,0.0161052533175783,-0.000463042676602054,-0.00389316791020888,-0.00266889287139727
9,1,235,56.669665,0.299411928231362,0.069260283350196,NaN,0.844096723672361,NaN,NaN,NaN,559.020439327517,NaN,NaN,NaN,0.00365036232992399,-0.0099449635602492,0.000395291059953064,0.00018957110735093,0.00155631623761401,0.0239302833518857,0.00149423770902975,-0.00409552696661136,-0.00124392970938004,-0.000718580666746729
10,1,197,55.791332,0.296901392645202,0.065708710145031,NaN,0.789507816296826,NaN,NaN,NaN,557.942678067843,NaN,NaN,NaN,0.0257536286341859,-0.00630688048521387,-0.000530583383357017,0.000972021523619686,0.000786632896959576,0.0117551056543711,-0.00522472967779013,-0.000908814695555659,-0.000899688739018569,0.0027681805928412
11,1,188,53.396037,0.288867955869063,0.069769923980967,NaN,0.753394470220976,NaN,NaN,NaN,560.862307955278,NaN,NaN,NaN,0.00355526810213773,-0.00637171802765545,-0.000762335225472071,-0.00142035915475418,0.000577668468221359,0.027466929353834,-0.0172401533715592,-0.000756080743400552,0.00203000983569545,-0.00068566784472723
12,1,201,55.522526,0.28367389527848,0.0653188184516629,NaN,0.726235184088981,NaN,NaN,NaN,557.585738862558,NaN,NaN,NaN,0.0168976393999479,-0.00696645098112928,-0.00346253574232166,0.000732871364907833,0.000844114941410025,0.0182674983362266,-0.00729160978088812,-0.00426178022289524,-0.000216300280318261,-0.00236700710100682
13,1,249,56.071572,0.279454385493882,0.061193640707112,NaN,1.27290154307187,NaN,NaN,NaN,558.040736857944,NaN,NaN,NaN,0.0339185628230513,-0.0128822490173265,-0.0020386783600933,0.00109633089058338,-0.00163394913721094,0.002898911503934,0.00969884620144391,-0.00361336931632898,0.00155459360998652,-0.000692942135707169
14,1,247,55.615382,0.286061615420272,0.0652430120328192,NaN,1.34692874074479,NaN,NaN,NaN,559.644685534846,NaN,NaN,NaN,0.00526554452934059,-0.0180414925406814,-0.00232034605036366,-0.00155715352976819,-0.000403411625069907,0.0266305088050173,0.0192811590558485,-0.000795957913797489,0.000537615688453252,-0.00151744597310781
15,1,237,56.374089,0.293201893362217,0.072733263791195,NaN,0.869176704446739,NaN,NaN,NaN,561.690467125196,NaN,NaN,NaN,0.0213662151722134,-0.0134533298232671,-0.00128363723561078,0.00139506270375181,-0.000280966295666068,0.00241531251014664,0.00147506671840528,0.000353201579939077,0.000669597174491596,0.00085405012658766
16,1,184,56.486953,0.290622703080531,0.0603967187182842,NaN,1.22371257179501,NaN,NaN,NaN,557.413078378688,NaN,NaN,NaN,0.0293741828468798,-0.0136372417996919,-0.00352875405093046,-0.000266325895012105,-0.000923181820915174,0.00865167602504617,-0.00886797008625314,-0.00249953392045799,-0.00123509826613708,-6.59169803567588e-06
17,1,153,53.757446,0.283547004723921,0.0591400743913778,NaN,1.81236654815813,NaN,NaN,NaN,558.905638776228,NaN,NaN,NaN,0.0128592566160367,-0.0136837272286932,-0.0014802392549982,0.00258477289790567,-0.00185020887612464,0.0222642404958015,-0.0124538878320146,-8.60299087325778e-05,0.00337142777522579,-0.000462573951839991
18,1,196,54.895665,0.279198393939296,0.0639694517716434,NaN,0.858652585889463,NaN,NaN,NaN,557.410498411865,NaN,NaN,NaN,0.0232147765744429,-0.0099253416087439,0.000354186739164073,-0.00130122875072202,-0.000360578341185387,0.0150377271974132,-0.00535103930349277,-0.00133080539666555,0.000273540631183108,-0.00111594852646324
19,1,253,56.32193,0.272703738590702,0.0689655796761051,NaN,0.7728033589625,NaN,NaN,NaN,558.749007129699,NaN,NaN,NaN,0.0163277143417356,-0.0211304827638986,-0.00126749030824471,0.000440398963076764,-0.00158414647787315,0.0121824030575865,0.0157904129722065,-0.00400321860529727,-0.000359919940168779,-0.0011233751411167
20,1,241,55.404996,0.277396421639714,0.0637414516551889,NaN,1.546413534697,NaN,NaN,NaN,559.639016477005,NaN,NaN,NaN,0.0212421019516763,-0.0185034859265918,-0.00263941115542344,-0.00141470034232555,-0.00260106470871594,0.00715250942115601,0.0118701826347495,-0.00126024749396649,-0.000442929477879271,-0.0012444752881951
21,1,247,56.337536,0.281552307888865,0.0650512483438109,NaN,1.33908903560931,NaN,NaN,NaN,558.293296073432,NaN,NaN,NaN,0.00499099260399477,-0.0215177549003017,-0.00137749238390759,0.00220414507899118,-0.00341906534405829,0.0264996044582425,0.00219466462433827,-0.000880216558354679,-0.00053877152082443,-0.00264807674017622
22,1,227,55.400562,0.27971163585037,0.0594377257803036,NaN,1.34090505452988,NaN,NaN,NaN,557.170354195791,NaN,NaN,NaN,0.03502780262487,-0.0241568353972825,0.000934339617445355,0.000859984055650392,-0.00353591686460398,0.00658405961118627,0.000144246756266709,0.000969242017193133,0.00355109264209903,0.000594029410176064
23,1,200,53.366653,0.276337134556379,0.0640543615259913,NaN,1.62319922484142,NaN,NaN,NaN,560.79716176911,NaN,NaN,NaN,0.000759768763820024,-0.0073116048308077,0.000934626184313166,0.00131727021085834,0.000657563319509804,0.0289025362241214,-0.00196626854064171,-0.00300127365783138,0.000762228124981137,-1.94093823194602e-05
24,1,205,54.147453,0.273552199199796,0.0665992444935741,NaN,1.51106061397243,NaN,NaN,NaN,561.702779618377,NaN,NaN,NaN,0.0145138709400565,-0.00828433881748511,-0.000600348878613479,0.00102197183044476,0.000826752121016576,0.0117814603158133,-0.00589609750826081,-0.000669470016847567,0.000982007159049515,-0.00209552850368418
