Field_Number,Success,Num_Calibrators,Time_Seconds,Norm_,Tau_aod500,Pwv_cm,Alpha,Dobson_units
1,1,94,5.158998,0.418001336247296,0.0843040543225122,0.959798483912466,NaN,NaN
2,1,94,5.400426,0.417809763154411,0.0932018121531346,0.100000000000001,NaN,NaN
3,1,83,3.815989,0.41664105671029,0.0862842819310041,0.734277387654039,NaN,NaN
4,1,106,4.429012,0.417003126496699,0.0913267435107662,0.224735186820364,NaN,NaN
5,1,96,4.242082,0.409842009695792,0.0896064226261071,0.379811749878849,NaN,NaN
6,1,97,4.443282,0.398091802102015,0.0932545140737048,0.121334434755619,NaN,NaN
7,1,106,4.096793,0.415673569024925,0.0831338197384051,1.11325573444985,NaN,NaN
8,1,93,3.841959,0.419650318371137,0.0879705043217343,0.532440826740035,NaN,NaN
9,1,85,3.972508,0.422961313380073,0.0735102505850887,2.6305215864907,NaN,NaN
10,1,81,3.666916,0.421213768992574,0.0856767113371797,0.796818003540795,NaN,NaN
11,1,111,4.438818,0.409835199293402,0.0922586347287298,0.186693184369987,NaN,NaN
12,1,115,3.918231,0.400175117839881,0.0868221776728417,0.66496422827324,NaN,NaN
13,1,102,3.823632,0.415420197019469,0.0852890328163189,0.842332564461376,NaN,NaN
14,1,97,3.709835,0.415466621851293,0.0871965873943659,0.623228955208236,NaN,NaN
15,1,96,5.235357,0.42529269045524,0.0928192088410603,0.100000000000023,NaN,NaN
16,1,86,3.642794,0.420957113868816,0.0853052509363607,0.83597295100387,NaN,NaN
17,1,101,3.915141,0.406887410239869,0.0818002993015084,1.30057689806623,NaN,NaN
18,1,108,4.237306,0.401228261755661,0.0908946980444507,0.279593174764002,NaN,NaN
19,1,103,4.488113,0.420222990908741,0.092897799275931,0.114327596922641,NaN,NaN
20,1,104,3.93321,0.415579368777251,0.082688053174137,1.16825421131503,NaN,NaN
21,1,102,5.38263,0.419345489566483,0.0930436278434689,0.100000000000021,NaN,NaN
22,1,104,5.628149,0.411903673963063,0.0933061926704758,0.100000000000457,NaN,NaN
23,1,110,4.296704,0.406782576573874,0.0899989642864985,0.349239237275985,NaN,NaN
24,1,113,4.030167,0.401865611635666,0.0886987515159454,0.453832079525276,NaN,NaN
