=== PYTHON ATMOSPHERIC TRANSMISSION ===

Test conditions:
  Zenith angle: 0.0 deg
  Pressure: 1013.25 mbar
  Temperature: 15.0 C
  Ozone: 300 DU
  Water vapor: 1.0 cm
  Aerosol AOD: 0.084
  CO2: 395 ppm

Calculating components...

# Wavelength(nm), Trans_Total, Trans_Ray, Trans_Oz, Trans_Water, Trans_Aer, Trans_UMG
300.0, 0.015196, 0.296375, 0.057701, 1.000000, 0.892145, 0.995996
308.0, 0.117147, 0.337617, 0.388995, 1.000000, 0.893741, 0.998045
316.0, 0.248952, 0.378010, 0.736943, 1.000000, 0.895275, 0.998211
324.0, 0.349999, 0.417124, 0.937499, 1.000000, 0.896751, 0.998066
332.0, 0.399485, 0.454649, 0.980446, 1.000000, 0.898172, 0.997793
340.0, 0.435091, 0.490382, 0.989709, 1.000000, 0.899541, 0.996590
348.0, 0.470053, 0.524201, 0.998594, 1.000000, 0.900862, 0.996785
356.0, 0.499329, 0.556050, 0.999766, 1.000000, 0.902137, 0.995639
364.0, 0.527226, 0.585925, 0.999948, 1.000000, 0.903368, 0.996122
372.0, 0.553120, 0.613859, 0.999980, 1.000000, 0.904559, 0.996144
380.0, 0.575496, 0.639912, 0.999973, 1.000000, 0.905711, 0.992988
388.0, 0.600056, 0.664163, 0.999957, 1.000000, 0.906825, 0.996351
396.0, 0.621159, 0.686701, 0.999936, 1.000000, 0.907906, 0.996374
404.0, 0.641070, 0.707623, 0.999938, 1.000000, 0.908953, 0.996757
412.0, 0.659539, 0.727029, 0.999853, 1.000000, 0.909968, 0.997071
420.0, 0.676167, 0.745018, 0.999771, 1.000000, 0.910953, 0.996531
428.0, 0.691807, 0.761688, 0.999540, 1.000000, 0.911910, 0.996449
436.0, 0.706545, 0.777134, 0.999364, 1.000000, 0.912840, 0.996611
444.0, 0.719676, 0.791445, 0.998642, 0.999674, 0.913744, 0.996836
452.0, 0.732725, 0.804706, 0.998446, 1.000000, 0.914623, 0.997097
460.0, 0.743342, 0.816998, 0.996950, 1.000000, 0.915478, 0.996889
468.0, 0.754128, 0.828395, 0.997034, 0.999951, 0.916310, 0.996498
476.0, 0.758448, 0.838966, 0.995862, 1.000000, 0.917121, 0.989818
484.0, 0.771547, 0.848776, 0.993244, 1.000000, 0.917911, 0.997041
492.0, 0.780496, 0.857885, 0.993026, 0.999987, 0.918681, 0.997291
500.0, 0.786703, 0.866347, 0.990116, 0.999915, 0.919431, 0.997585
508.0, 0.790122, 0.874214, 0.987002, 0.997976, 0.920164, 0.997179
516.0, 0.798155, 0.881531, 0.986245, 1.000000, 0.920878, 0.996925
524.0, 0.801723, 0.888342, 0.983163, 0.999793, 0.921576, 0.996270
532.0, 0.802356, 0.894686, 0.977582, 0.999993, 0.922257, 0.994705
540.0, 0.808092, 0.900599, 0.976627, 0.999401, 0.922923, 0.996083
548.0, 0.810007, 0.906114, 0.973602, 0.999407, 0.923574, 0.994742
556.0, 0.813361, 0.911262, 0.971131, 1.000000, 0.924210, 0.994471
564.0, 0.812345, 0.916070, 0.965521, 0.999957, 0.924832, 0.993130
572.0, 0.805451, 0.920564, 0.961889, 0.997001, 0.925440, 0.985863
580.0, 0.811857, 0.924767, 0.963106, 0.999692, 0.926035, 0.984644
588.0, 0.816004, 0.928702, 0.964661, 0.991081, 0.926618, 0.991817
596.0, 0.817412, 0.932387, 0.961228, 0.990268, 0.927188, 0.993339
604.0, 0.827017, 0.935842, 0.958585, 0.999845, 0.927747, 0.993845
612.0, 0.836581, 0.939082, 0.963630, 1.000000, 0.928294, 0.995883
620.0, 0.840744, 0.942123, 0.968169, 1.000000, 0.928831, 0.992357
